"state_name","income","pop"
"Alabama",195216600000,4850771
"Alaska",41804650000,738565
"Arizona",2.94893e+11,6809946
"Arkansas",123482175000,2977944
"California",2338581250000,38982847
"Colorado",304809125000,5436519
"Connecticut",255023600000,3594478
"Delaware",47602225000,943732
"District of Columbia",5.446e+10,672391
"Florida",986779900000,20278447
"Georgia",456901325000,10201635
"Hawaii",74925300000,1421658
"Idaho",71141450000,1657375
"Illinois",683648575000,12854526
"Indiana",298222425000,6614418
"Iowa",148009750000,3118102
"Kansas",141089625000,2903820
"Kentucky",180708150000,4424376
"Louisiana",203822450000,4663461
"Maine",61441825000,1330158
"Maryland",361649275000,5996079
"Massachusetts",461964800000,6789319
"Michigan",457343500000,9925568
"Minnesota",302649325000,5490726
"Mississippi",108051725000,2986220
"Missouri",276830500000,6075300
"Montana",47186425000,1029862
"Nebraska",96330650000,1893921
"Nevada",137139050000,2887725
"New Hampshire",77896150000,1331848
"New Jersey",570662225000,8960161
"New Mexico",82201775000,2084828
"New York",1259734850000,19798228
"North Carolina",448143575000,10052564
"North Dakota",39727450000,745475
"Ohio",538489650000,11609756
"Oklahoma",169083775000,3896251
"Oregon",197542475000,4025127
"Pennsylvania",673402875000,12790505
"Rhode Island",54683525000,1056138
"South Carolina",208591850000,4893444
"South Dakota",42935400000,855444
"Tennessee",298548975000,6597381
"Texas",1333090775000,27419612
"Utah",134488475000,2993941
"Vermont",32182275000,624636
"Virginia",463323350000,8365952
"Washington",427634825000,7169967
"West Virginia",69391650000,1836843
"Wisconsin",282230225000,5763217
"Wyoming",32272925000,583200
